Arquitectura,Topologia,Acc_media,Acc_std,TrainAcc_media,TrainAcc_std,F1_media,F1_std,ErrorRate_med,ErrorRate_std
[16] σ,[16],0.8326,0.0273,0.8785,0.0044,0.8276,0.0271,0.1674,0.0273
[32] σ,[32],0.8695,0.0199,0.9313,0.0069,0.8659,0.0204,0.1305,0.0199
[64] σ,[64],0.8952,0.0239,0.9599,0.0029,0.8925,0.0241,0.1048,0.0239
[32] relu,[32],0.8975,0.0195,0.9778,0.0031,0.8944,0.0199,0.1025,0.0195
[64] relu,[64],0.8945,0.0236,0.9837,0.0041,0.8914,0.024,0.1055,0.0236
"[32,16] σ","[32, 16]",0.9469,0.0137,0.9947,0.0012,0.9453,0.0145,0.0531,0.0137
"[64,32] σ","[64, 32]",0.9569,0.0114,0.9981,0.0005,0.9558,0.0119,0.0431,0.0114
"[64,32] relu","[64, 32]",0.9269,0.0166,0.9929,0.0028,0.9248,0.0173,0.0731,0.0166
"[128,64] σ","[128, 64]",0.9603,0.0091,0.9979,0.0006,0.9592,0.0095,0.0397,0.0091
"[64,32] σ/tanh","[64, 32]",0.9603,0.01,0.9968,0.0009,0.9593,0.0105,0.0397,0.01
