Nombre,Kernel,C,Gamma,Acc_media,Acc_std,TrainAcc_media,TrainAcc_std,F1_media,F1_std,ErrorRate_med,ErrorRate_std
Linear C=0.1,linear,0.1,-1.0,0.6172,0.0197,0.634,0.0081,0.5848,0.0258,0.3828,0.0197
Linear C=1,linear,1.0,-1.0,0.846,0.0183,0.8585,0.0036,0.8393,0.0189,0.154,0.0183
Linear C=10,linear,10.0,-1.0,0.9384,0.017,0.9537,0.0018,0.9365,0.0176,0.0616,0.017
RBF C=1 auto,rbf,1.0,-1.0,0.6182,0.0296,0.6345,0.0049,0.5857,0.0369,0.3818,0.0296
RBF C=10 auto,rbf,10.0,-1.0,0.8327,0.0205,0.8605,0.0035,0.8288,0.0221,0.1673,0.0205
RBF C=100 auto,rbf,100.0,-1.0,0.9356,0.0205,0.9826,0.0018,0.9331,0.0217,0.0644,0.0205
RBF C=10 γ=0.01,rbf,10.0,0.01,0.6897,0.0176,0.7099,0.0085,0.6713,0.0203,0.3103,0.0176
RBF C=10 γ=0.1,rbf,10.0,0.1,0.8811,0.0195,0.9386,0.0039,0.8773,0.0199,0.1189,0.0195
RBF C=10 γ=1,rbf,10.0,1.0,0.8759,0.0228,0.9938,0.001,0.8741,0.0236,0.1241,0.0228
Poly d=2 C=1,poly,1.0,-1.0,0.5632,0.0174,0.5708,0.0066,0.5253,0.0251,0.4368,0.0174
Poly d=3 C=1,poly,1.0,-1.0,0.4485,0.0261,0.4538,0.0059,0.3486,0.0239,0.5515,0.0261
Poly d=3 C=10,poly,10.0,-1.0,0.666,0.0319,0.6905,0.0062,0.6504,0.036,0.334,0.0319
Sigmoid C=1 auto,sigmoid,1.0,-1.0,0.568,0.019,0.574,0.0045,0.5262,0.0311,0.432,0.019
Sigmoid C=10 auto,sigmoid,10.0,-1.0,0.6783,0.0228,0.6999,0.0065,0.6571,0.0232,0.3217,0.0228
